Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	EC number	Organism (ID)	Rhea ID	AlphaFoldDB	PDB	BRENDA	BioCyc	PathwayCommons	SABIO-RK	Reactome	PlantReactome	SIGNOR	SignaLink	UniPathway
P04070	reviewed	PROC_HUMAN	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	PROC	Homo sapiens (Human)	3.4.21.69	9606		P04070;	1AUT;1LQV;3F6U;3JTC;4DT7;6M3B;6M3C;8JRU;8JRV;	3.4.21.69;		P04070;	P04070;	R-HSA-140837;R-HSA-140875;R-HSA-159740;R-HSA-159763;R-HSA-159782;R-HSA-202733;R-HSA-381426;R-HSA-8957275;		P04070;	P04070;	
P04075	reviewed	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	4.1.2.13	9606	RHEA:14729	P04075;	1ALD;2ALD;4ALD;5KY6;6XMH;6XML;6XMM;6XMO;	4.1.2.13;	MetaCyc:HS07647-MONOMER;	P04075;	P04075;	R-HSA-114608;R-HSA-6798695;R-HSA-70171;R-HSA-70263;		P04075;	P04075;	UPA00109;
P04157	reviewed	PTPRC_RAT	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	Ptprc	Rattus norvegicus (Rat)	3.1.3.48	10116	RHEA:10684	P04157;	5FN8;					R-RNO-202427;R-RNO-416700;R-RNO-6798695;				
P04176	reviewed	PH4H_RAT	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)	Pah	Rattus norvegicus (Rat)	1.14.16.1	10116	RHEA:20273	P04176;	1PHZ;2PHM;5DEN;5EGQ;5FGJ;	1.14.16.1;			P04176;	R-RNO-8964208;				UPA00139;
P04177	reviewed	TY3H_RAT	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	Th	Rattus norvegicus (Rat)	1.14.16.2	10116	RHEA:18201	P04177;	1TOH;2MDA;2TOH;	1.14.16.2;			P04177;	R-RNO-209905;				UPA00747;
P04179	reviewed	SODM_HUMAN	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	SOD2	Homo sapiens (Human)	1.15.1.1	9606	RHEA:20696	P04179;	1AP5;1AP6;1EM1;1JA8;1LUV;1LUW;1MSD;1N0J;1N0N;1PL4;1PM9;1QNM;1SZX;1VAR;1XDC;1XIL;1ZSP;1ZTE;1ZUQ;2ADP;2ADQ;2GDS;2P4K;2QKA;2QKC;3C3S;3C3T;5GXO;5T30;5VF9;7KKS;7KKU;7KKW;7KLB;	1.15.1.1;	MetaCyc:HS03515-MONOMER;	P04179;	P04179;	R-HSA-2151201;R-HSA-3299685;R-HSA-8862803;R-HSA-8950505;R-HSA-9615017;		P04179;	P04179;	
P04180	reviewed	LCAT_HUMAN	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	LCAT	Homo sapiens (Human)	2.3.1.43; 3.1.1.47	9606	RHEA:21204 RHEA:17777 RHEA:43216 RHEA:43224 RHEA:53448 RHEA:53456 RHEA:53464 RHEA:53460 RHEA:53468 RHEA:53472 RHEA:53476 RHEA:53516 RHEA:53520 RHEA:40811 RHEA:40427 RHEA:53636	P04180;	4X96;4XWG;4XX1;5BV7;5TXF;6MVD;	2.3.1.43;		P04180;	P04180;	R-HSA-8964058;		P04180;	P04180;	
P04181	reviewed	OAT_HUMAN	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	OAT	Homo sapiens (Human)	2.6.1.13	9606	RHEA:25160	P04181;	1GBN;1OAT;2BYJ;2BYL;2CAN;2OAT;5VWO;6HX7;6OIA;6V8C;6V8D;7JX9;7LK0;7LK1;7LNM;7LOM;7LON;7T9Z;7TA0;7TA1;7TED;7TEV;7TFP;8EZ1;	2.6.1.13;	MetaCyc:HS00832-MONOMER;	P04181;	P04181;	R-HSA-8964539;		P04181;	P04181;	UPA00098;
P04183	reviewed	KITH_HUMAN	Thymidine kinase, cytosolic (EC 2.7.1.21)	TK1	Homo sapiens (Human)	2.7.1.21	9606	RHEA:19129	P04183;	1W4R;1XBT;2ORV;2WVJ;	2.7.1.21;	MetaCyc:HS09657-MONOMER;	P04183;	P04183;	R-HSA-69205;R-HSA-73614;		P04183;	P04183;	
P04406	reviewed	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	1.2.1.12; 2.6.99.-	9606	RHEA:10300 RHEA:66684	P04406;	1U8F;1ZNQ;3GPD;4WNC;4WNI;6ADE;6IQ6;6M61;6YND;6YNE;6YNF;6YNH;8DNS;8P5F;	1.2.1.12;	MetaCyc:HS03433-MONOMER;	P04406;	P04406;	R-HSA-70171;R-HSA-70263;		P04406;	P04406;	UPA00109;
P04424	reviewed	ARLY_HUMAN	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	ASL	Homo sapiens (Human)	4.3.2.1	9606	RHEA:24020	P04424;	1AOS;1K62;	4.3.2.1;	MetaCyc:HS10034-MONOMER;	P04424;	P04424;	R-HSA-70635;			P04424;	UPA00068;UPA00158;
P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	2.7.10.1	9606	RHEA:10596	P04626;	1MFG;1MFL;1MW4;1N8Z;1QR1;1S78;2A91;2JWA;2KS1;2L4K;2N2A;3BE1;3H3B;3MZW;3N85;3PP0;3RCD;3WLW;3WSQ;4GFU;4HRL;4HRM;4HRN;4NND;5K33;5KWG;5MY6;5O4G;5OB4;5TQS;6ATT;6BGT;6J71;6LBX;6OGE;7JXH;7MN5;7MN6;7MN8;7PCD;7QVK;8FFJ;8HGO;8HGP;8Q6J;	2.7.10.1;		P04626;		R-HSA-1227986;R-HSA-1250196;R-HSA-1251932;R-HSA-1257604;R-HSA-1306955;R-HSA-1358803;R-HSA-1963640;R-HSA-1963642;R-HSA-2219530;R-HSA-416572;R-HSA-5673001;R-HSA-6785631;R-HSA-6811558;R-HSA-8847993;R-HSA-8863795;R-HSA-8866910;R-HSA-9634285;R-HSA-9652282;R-HSA-9664565;R-HSA-9665233;R-HSA-9665244;R-HSA-9665245;R-HSA-9665246;R-HSA-9665247;R-HSA-9665249;R-HSA-9665250;R-HSA-9665251;R-HSA-9665348;R-HSA-9665686;R-HSA-9665737;		P04626;	P04626;	
P04629	reviewed	NTRK1_HUMAN	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	NTRK1 MTC TRK TRKA	Homo sapiens (Human)	2.7.10.1	9606	RHEA:10596	P04629;	1HE7;1SHC;1WWA;1WWW;2IFG;2N90;4AOJ;4CRP;4F0I;4GT5;4PMM;4PMP;4PMS;4PMT;4YNE;4YPS;5H3Q;5I8A;5JFS;5JFV;5JFW;5JFX;5KMI;5KMJ;5KMK;5KML;5KMM;5KMN;5KMO;5KVT;5WR7;6D1Y;6D1Z;6D20;6D22;6DKB;6DKG;6DKI;6DKW;6IQN;6J5L;6NPT;6NSP;6NSS;6PL1;6PL2;6PL3;6PL4;6PMA;6PMB;6PMC;6PME;7N3T;7VKM;7VKN;7VKO;7XAF;7XBI;8J5W;8J5X;8J61;8J63;	2.7.10.1;		P04629;		R-HSA-167021;R-HSA-167044;R-HSA-170968 [P04629-1];R-HSA-170984;R-HSA-177504;R-HSA-187024;R-HSA-187042;R-HSA-187706;R-HSA-198203;R-HSA-198745;		P04629;	P04629;	
P04642	reviewed	LDHA_RAT	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	Ldha Ldh-1 Ldh1	Rattus norvegicus (Rat)	1.1.1.27	10116	RHEA:23444	P04642;	4AJ1;4AJ2;4AJ4;4AJE;4AJH;4AJI;4AJJ;4AJK;4AJL;4AJN;4AJO;4AL4;5ES3;		MetaCyc:MONOMER-11604;			R-RNO-70268;				UPA00554;
P04746	reviewed	AMYP_HUMAN	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY2A	Homo sapiens (Human)	3.2.1.1	9606		P04746;	1B2Y;1BSI;1CPU;1HNY;1KB3;1KBB;1KBK;1KGU;1KGW;1KGX;1U2Y;1U30;1U33;1XCW;1XCX;1XD0;1XD1;1XGZ;1XH0;1XH1;1XH2;2CPU;2QMK;2QV4;3BAI;3BAJ;3BAK;3BAW;3BAX;3BAY;3CPU;3IJ7;3IJ8;3IJ9;3OLD;3OLE;3OLG;3OLI;4GQQ;4GQR;4W93;4X9Y;5E0F;5EMY;5KEZ;5TD4;5U3A;5VA9;6OBX;6OCN;6Z8L;	3.2.1.1;		P04746;	P04746;	R-HSA-189085;			P04746;	
P04756	reviewed	ACHA_MOUSE	Acetylcholine receptor subunit alpha	Chrna1 Acra	Mus musculus (Mouse)		10090	RHEA:29463 RHEA:34963	P04756;	2QC1;5HBV;					R-MMU-629594;R-MMU-629597;				
P04775	reviewed	SCN2A_RAT	Sodium channel protein type 2 subunit alpha (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)	Scn2a Scn2a1	Rattus norvegicus (Rat)		10116	RHEA:34963	P04775;	1BYY;2KXW;2M5E;									
P04798	reviewed	CP1A1_HUMAN	Cytochrome P450 1A1 (CYPIA1) (EC 1.14.14.1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	CYP1A1	Homo sapiens (Human)	1.14.14.1; 4.2.1.152	9606	RHEA:17149 RHEA:47208 RHEA:47292 RHEA:47308 RHEA:47312 RHEA:47204 RHEA:47212 RHEA:47280 RHEA:47284 RHEA:47288 RHEA:47276 RHEA:50076 RHEA:49972 RHEA:49968 RHEA:39811 RHEA:39759 RHEA:39787 RHEA:49884 RHEA:49880 RHEA:49856 RHEA:49860 RHEA:39779 RHEA:52124 RHEA:52120 RHEA:42092 RHEA:42088 RHEA:48716 RHEA:37947 RHEA:48636 RHEA:48632	P04798;	4I8V;6DWM;6DWN;6O5Y;6UDL;6UDM;			P04798;	P04798;	R-HSA-1989781;R-HSA-211981;R-HSA-2142670;R-HSA-2142816;R-HSA-9018681;		P04798;	P04798;	UPA00199;UPA00912;
P04818	reviewed	TYSY_HUMAN	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	2.1.1.45	9606	RHEA:12104	P04818;	1HVY;1HW3;1HW4;1HZW;1I00;1JU6;1JUJ;1YPV;2ONB;2RD8;2RDA;3EAW;3EBU;3ED7;3EDW;3EF9;3EGY;3EHI;3EJL;3GG5;3GH0;3GH2;3H9K;3HB8;3N5E;3N5G;3OB7;4E28;4FGT;4G2O;4G6W;4GD7;4GYH;4H1I;4JEF;4KPW;4O1U;4O1X;4UP1;5HS3;5WRN;5X4W;5X4X;5X4Y;5X5A;5X5D;5X5Q;5X66;5X67;5X69;6OJU;6OJV;6PF3;6PF4;6PF5;6PF6;6QXG;6QXH;6QYQ;6R2E;6ZXO;	2.1.1.45;	MetaCyc:HS11096-MONOMER;	P04818;	P04818;	R-HSA-499943;R-HSA-69205;		P04818;	P04818;	UPA00575;
P04905	reviewed	GSTM1_RAT	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 3-3) (GSTM1-1) (Glutathione S-transferase Yb-1) (GST Yb1)	Gstm1	Rattus norvegicus (Rat)	2.5.1.18	10116	RHEA:16437 RHEA:50796 RHEA:50804 RHEA:50808 RHEA:50800 RHEA:50260	P04905;	1GSB;1GSC;1MTC;2GST;3FYG;3GST;4GST;5FWG;5GST;6GST;6GSU;6GSV;6GSW;6GSX;6GSY;	2.5.1.18;				R-RNO-156590;				
P04920	reviewed	B3A2_HUMAN	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2)	SLC4A2 AE2 EPB3L1 HKB3 MPB3L	Homo sapiens (Human)		9606	RHEA:72363 RHEA:72363 RHEA:72363 RHEA:72363	P04920;	8GV8;8GV9;8GVA;8GVC;8GVE;8GVF;8GVH;			P04920;		R-HSA-425381;		P04920;	P04920;	
P05023	reviewed	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	7.2.2.13	9606	RHEA:18353	P05023;	7E1Z;7E20;7E21;	7.2.2.3;		P05023;		R-HSA-5578775;R-HSA-936837;R-HSA-9679191;		P05023;	P05023;	
P05062	reviewed	ALDOB_HUMAN	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)	ALDOB ALDB	Homo sapiens (Human)	4.1.2.13	9606	RHEA:14729 RHEA:30851	P05062;	1QO5;1XDL;1XDM;8D44;	4.1.2.13;	MetaCyc:HS06234-MONOMER;	P05062;	P05062;	R-HSA-5657560;R-HSA-70171;R-HSA-70263;R-HSA-70350;		P05062;	P05062;	UPA00109;UPA00138;UPA00202;
P05089	reviewed	ARGI1_HUMAN	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	ARG1	Homo sapiens (Human)	3.5.3.1	9606	RHEA:20569	P05089;	1WVA;1WVB;2AEB;2PHA;2PHO;2PLL;2ZAV;3DJ8;3E6K;3E6V;3F80;3GMZ;3GN0;3KV2;3LP4;3LP7;3MFV;3MFW;3MJL;3SJT;3SKK;3TF3;3TH7;3THE;3THH;3THJ;4FCI;4FCK;4GSM;4GSV;4GSZ;4GWC;4GWD;4HWW;4HXQ;4IE1;6Q92;6Q9P;6QAF;6V7C;6V7D;6V7E;6V7F;7K4G;7K4H;7K4I;7K4J;7K4K;7KLK;7KLL;7KLM;7LEX;7LEY;7LEZ;7LF0;7LF1;7LF2;8AUP;8E5M;8E5N;	3.5.3.1;	MetaCyc:HS04231-MONOMER;	P05089;	P05089;	R-HSA-6798695;R-HSA-70635;		P05089;	P05089;	UPA00158;
P05091	reviewed	ALDH2_HUMAN	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	ALDH2 ALDM	Homo sapiens (Human)	1.2.1.3	9606	RHEA:16185	P05091;	1CW3;1NZW;1NZX;1NZZ;1O00;1O01;1O02;1O04;1O05;1ZUM;2ONM;2ONN;2ONO;2ONP;2VLE;3INJ;3INL;3N80;3N81;3N82;3N83;3SZ9;4FQF;4FR8;4KWF;4KWG;5L13;8DR9;	1.2.1.3;	MetaCyc:MONOMER66-302;	P05091;	P05091;	R-HSA-380612;R-HSA-445355;R-HSA-71384;		P05091;	P05091;	UPA00780;
P05093	reviewed	CP17A_HUMAN	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)	CYP17A1 CYP17 S17AH	Homo sapiens (Human)	1.14.14.19; 1.14.14.32	9606	RHEA:65760 RHEA:46308 RHEA:50236 RHEA:14753 RHEA:53216 RHEA:53220 RHEA:50244 RHEA:53224 RHEA:47220 RHEA:53228	P05093;	3RUK;3SWZ;4NKV;4NKW;4NKX;4NKY;4NKZ;5IRQ;5IRV;5UYS;6CHI;6CIR;6CIZ;6WR0;6WR1;6WW0;8FDA;	1.14.14.19;1.14.14.32;	MetaCyc:HS07560-MONOMER;	P05093;	P05093;	R-HSA-193048;R-HSA-194002;R-HSA-5579028;		P05093;	P05093;	UPA00788;
P05108	reviewed	CP11A_HUMAN	Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))	CYP11A1 CYP11A	Homo sapiens (Human)	1.14.15.6	9606	RHEA:35739 RHEA:34335 RHEA:34339 RHEA:34343	P05108;	3N9Y;3N9Z;3NA0;3NA1;	1.14.15.6;	MetaCyc:HS06719-MONOMER;	P05108;	P05108;	R-HSA-196108;R-HSA-211976;R-HSA-5579026;		P05108;	P05108;	UPA00229;UPA00296;
P05129	reviewed	KPCG_HUMAN	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	PRKCG PKCG	Homo sapiens (Human)	2.7.11.13	9606	RHEA:17989 RHEA:46608	P05129;	2E73;2UZP;	2.7.11.13;		P05129;		R-HSA-111933;R-HSA-114516;R-HSA-416993;R-HSA-418597;R-HSA-5099900;R-HSA-76005;		P05129;	P05129;	
P05132	reviewed	KAPCA_MOUSE	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Prkaca Pkaca	Mus musculus (Mouse)	2.7.11.11	10090	RHEA:17989 RHEA:46608	P05132;	1APM;1ATP;1BKX;1BX6;1FMO;1J3H;1JBP;1JLU;1L3R;1RDQ;1RE8;1REJ;1REK;1SYK;2CPK;2ERZ;2QCS;2QUR;2QVS;3FHI;3FJQ;3IDB;3IDC;3J4Q;3J4R;3O7L;3OW3;3PVB;3QAL;3QAM;3TNP;3TNQ;3X2U;3X2V;3X2W;4DFX;4DFY;4DFZ;4DG0;4DG2;4DG3;4DH1;4DH3;4DH5;4DH7;4DH8;4DIN;4HPT;4HPU;4IAC;4IAD;4IAF;4IAI;4IAK;4IAY;4IAZ;4IB0;4IB1;4IB3;4NTS;4NTT;4O21;4O22;4WBB;4X6Q;4X6R;4XW4;4XW5;4XW6;5JR7;5X3F;6E21;6MM5;6MM6;6MM7;6MM8;7E0Z;7E11;7E12;7UJX;7V0G;	2.7.11.11;				R-MMU-163615;R-MMU-164378;R-MMU-180024;R-MMU-2565942;R-MMU-380259;R-MMU-380270;R-MMU-380284;R-MMU-380320;R-MMU-381676;R-MMU-392517;R-MMU-422356;R-MMU-432040;R-MMU-4420097;R-MMU-442720;R-MMU-512988;R-MMU-5578775;R-MMU-5610785;R-MMU-5610787;R-MMU-5620912;R-MMU-5621575;R-MMU-5687128;R-MMU-8853659;R-MMU-8854518;R-MMU-8963896;R-MMU-9634597;R-MMU-983231;				
P05156	reviewed	CFAI_HUMAN	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	Homo sapiens (Human)	3.4.21.45	9606		P05156;	2XRC;5O32;	3.4.21.45;		P05156;		R-HSA-977606;		P05156;	P05156;	
P05164	reviewed	PERM_HUMAN	Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain]	MPO	Homo sapiens (Human)	1.11.2.2	9606	RHEA:28218	P05164;	1CXP;1D2V;1D5L;1D7W;1DNU;1DNW;1MHL;1MYP;3F9P;3ZS0;3ZS1;4C1M;4DL1;4EJX;5FIW;5MFA;5UZU;6AZP;6BMT;7OIH;	1.11.2.2;	MetaCyc:HS00140-MONOMER;	P05164;		R-HSA-6798695;R-HSA-8941413;		P05164;	P05164;	
P05165	reviewed	PCCA_HUMAN	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA	Homo sapiens (Human)	6.4.1.3	9606	RHEA:23720 RHEA:59520	P05165;	2CQY;2JKU;7YBU;	6.4.1.3;	MetaCyc:ENSG00000175198-MONOMER;	P05165;	P05165;	R-HSA-196780;R-HSA-3371599;R-HSA-71032;		P05165;	P05165;	UPA00945;
P05166	reviewed	PCCB_HUMAN	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	Homo sapiens (Human)	6.4.1.3	9606	RHEA:23720 RHEA:59520	P05166;	7YBU;	6.4.1.3;	MetaCyc:ENSG00000114054-MONOMER;	P05166;	P05166;	R-HSA-196780;R-HSA-3371599;R-HSA-71032;		P05166;	P05166;	UPA00945;
P05177	reviewed	CP1A2_HUMAN	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	CYP1A2	Homo sapiens (Human)	1.14.14.1; 4.2.1.152	9606	RHEA:17149 RHEA:47212 RHEA:47280 RHEA:47208 RHEA:47292 RHEA:50256 RHEA:42092 RHEA:42088 RHEA:49860 RHEA:49856 RHEA:39779 RHEA:52120 RHEA:48632 RHEA:37947 RHEA:48636 RHEA:48716 RHEA:52292 RHEA:39759 RHEA:52284	P05177;	2HI4;	1.14.14.1;1.14.99.38;	MetaCyc:HS06728-MONOMER;	P05177;	P05177;	R-HSA-156581;R-HSA-211957;R-HSA-2142670;R-HSA-2142816;R-HSA-5423646;R-HSA-9018681;R-HSA-9027307;			P05177;	UPA00296;UPA00383;UPA00912;
P05181	reviewed	CP2E1_HUMAN	Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J)	CYP2E1 CYP2E	Homo sapiens (Human)	1.14.13.n7; 1.14.14.1	9606	RHEA:17149 RHEA:50076 RHEA:39787 RHEA:50088 RHEA:39751 RHEA:50096 RHEA:26205	P05181;	3E4E;3E6I;3GPH;3KOH;3LC4;3T3Z;		MetaCyc:HS05414-MONOMER;	P05181;	P05181;	R-HSA-211981;R-HSA-211999;R-HSA-9027307;R-HSA-9749641;R-HSA-9753281;		P05181;	P05181;	UPA00199;
P05186	reviewed	PPBT_HUMAN	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)	ALPL	Homo sapiens (Human)	3.1.3.1; 3.9.1.1	9606	RHEA:15017 RHEA:24576 RHEA:20533 RHEA:16089 RHEA:12977 RHEA:13065 RHEA:61436 RHEA:29375	P05186;	7YIV;7YIW;7YIX;	3.1.3.1;		P05186;	P05186;	R-HSA-163125;		P05186;	P05186;	
P05187	reviewed	PPB1_HUMAN	Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)	ALPP PLAP	Homo sapiens (Human)	3.1.3.1	9606	RHEA:15017	P05187;	1EW2;1ZEB;1ZED;1ZEF;2GLQ;3MK0;3MK1;3MK2;	3.1.3.1;		P05187;	P05187;	R-HSA-6811438;			P05187;	
P05202	reviewed	AATM_MOUSE	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Got2 Got-2	Mus musculus (Mouse)	2.6.1.1; 2.6.1.7	10090	RHEA:21824 RHEA:65560	P05202;	3HLM;3PD6;3PDB;	2.6.1.7;				R-MMU-389661;R-MMU-70263;R-MMU-8963693;R-MMU-8964539;				
P05214	reviewed	TBA3_MOUSE	Tubulin alpha-3 chain (EC 3.6.5.-) (Alpha-tubulin 3/7) (Alpha-tubulin isotype M-alpha-3/7) (Tubulin alpha-3/alpha-7 chain) [Cleaved into: Detyrosinated tubulin alpha-3 chain]	Tuba3a Tuba3; Tuba3b Tuba7	Mus musculus (Mouse)	3.6.5.-	10090	RHEA:19669	P05214;	8I7O;8I7R;8IYJ;					R-MMU-190840;R-MMU-2132295;R-MMU-2467813;R-MMU-2500257;R-MMU-3371497;R-MMU-380320;R-MMU-437239;R-MMU-5610787;R-MMU-5617833;R-MMU-5620924;R-MMU-5626467;R-MMU-5663220;R-MMU-6807878;R-MMU-6811434;R-MMU-6811436;R-MMU-68877;R-MMU-8852276;R-MMU-8955332;R-MMU-9646399;R-MMU-9648025;R-MMU-9668328;R-MMU-983189;R-MMU-9833482;				
P05480	reviewed	SRC_MOUSE	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	Src	Mus musculus (Mouse)	2.7.10.2	10090	RHEA:10596 RHEA:10596 RHEA:10596	P05480;	6F3F;	2.7.10.2;				R-MMU-1227986;R-MMU-1251985;R-MMU-1253288;R-MMU-1257604;R-MMU-1295596;R-MMU-1433557;R-MMU-1433559;R-MMU-177929;R-MMU-180292;R-MMU-186763;R-MMU-191650;R-MMU-2029481;R-MMU-210990;R-MMU-354192;R-MMU-354194;R-MMU-372708;R-MMU-389356;R-MMU-389513;R-MMU-3928662;R-MMU-3928663;R-MMU-3928664;R-MMU-3928665;R-MMU-418592;R-MMU-418594;R-MMU-418885;R-MMU-430116;R-MMU-437239;R-MMU-4420097;R-MMU-456926;R-MMU-5218921;R-MMU-5607764;R-MMU-5663220;R-MMU-5673000;R-MMU-5674135;R-MMU-6811558;R-MMU-69231;R-MMU-8853659;R-MMU-8874081;R-MMU-8934903;R-MMU-8941858;R-MMU-9009391;R-MMU-9603381;				
P05532	reviewed	KIT_MOUSE	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	Kit Sl	Mus musculus (Mouse)	2.7.10.1	10090	RHEA:10596	P05532;	2O26;	2.7.10.1;				R-MMU-1257604;R-MMU-1433557;R-MMU-1433559;R-MMU-5673001;R-MMU-6811558;				
